"TOA5","Sample_Site","CR1000","5038","CR1000.Std.17","CPU:madeupprog.cr1","111","Sample_data"
"Timestamp","RECORD,"Battery","WindSpeed,"WindDirection","Wind_STDDEV","Temperature"
"TS","RN","Volts","meterspersecond","degrees","degrees","kohms"
"","","Avg","WVc","WVc","WVc","Avg"
"2010-05-14 07:30:00",85,13.505,2.168,16.54,3.156,9.01
"2010-05-14 08:00:00",86,13.531,1.685,22.95,2.472,9.02
"2010-05-14 08:30:00",87,13.554,2.003,16.83,2.84,9.02
"2010-05-14 09:00:00",88,13.573,0.913,13.97,2.314,9.03
"2010-05-14 09:30:00",89,13.588,2.619,5.071,4.944,9.03
"2010-05-14 10:00:00",90,13.598,4.587,35.25,6.628,9.03
"2010-05-14 10:30:00",91,13.598,3.732,41.72,5.102,9.03
"2010-05-14 11:00:00",92,13.581,3.986,36.39,5.891,9.04
"2010-05-14 11:30:00",93,13.546,6.83,31.15,8.89,9.04
"2010-05-14 12:00:00",94,13.502,5.725,31.9,8.52,9.02
"2010-05-14 12:30:00",95,13.451,3.112,24.97,4.734,9.01
"2010-05-14 13:00:00",96,13.396,4.21,32.82,5.313,8.99
"2010-05-14 13:30:00",97,13.343,3.899,29.79,5.418,8.98
"2010-05-14 14:00:00",98,13.295,4.37,33.06,5.786,8.95
"2010-05-14 14:30:00",99,13.252,3.431,349.2,5.628,8.93
"2010-05-14 15:00:00",100,13.217,3.991,3.976,5.628,8.91
"2010-05-14 15:30:00",101,13.186,4.692,349.8,6.575,8.88
"2010-05-14 16:00:00",102,13.145,3.264,340.5,5.944,8.86
"2010-05-14 16:30:00",103,13.113,4.418,330.8,8.15,8.83
"2010-05-14 17:00:00",104,13.083,6.268,339.3,9.57,8.82
"2010-05-14 17:30:00",105,13.055,8.79,341.9,10.84,8.81
"2010-05-14 18:00:00",106,13.037,9.85,337.2,14.2,8.81
"2010-05-14 18:30:00",107,13.036,10.03,328.9,15.04,8.8
"2010-05-14 19:00:00",108,13.043,9.09,346.4,12.83,8.8
"2010-05-14 19:30:00",109,13.048,10.4,331,15.1,8.8
"2010-05-14 20:00:00",110,13.053,11.96,330.3,15.25,8.79
"2010-05-14 20:30:00",111,13.053,11.33,331,13.94,8.78
"2010-05-14 21:00:00",112,13.054,11.6,352.3,13.62,8.78
"2010-05-14 21:30:00",113,13.056,10.96,7.88,12.41,8.77
"2010-05-14 22:00:00",114,13.056,9.76,8.01,11.83,8.77
"2010-05-14 22:30:00",115,13.053,8.84,6.976,10.89,8.76
"2010-05-14 23:00:00",116,13.058,8.16,9.72,9.2,8.76
"2010-05-14 23:30:00",117,13.068,7.39,12.43,8.73,8.75
"2010-05-15 00:00:00",118,13.084,7.79,358.2,9.84,8.75
"2010-05-15 00:30:00",119,13.107,9.05,10.36,9.99,8.75
"2010-05-15 01:00:00",120,13.137,9.71,356,11.73,8.74
"2010-05-15 01:30:00",121,13.175,12.05,323.3,14.31,8.75
"2010-05-15 02:00:00",122,13.22,12.95,330,15.31,8.75
"2010-05-15 02:30:00",123,13.264,10.07,325.7,12.2,8.74
"2010-05-15 03:00:00",124,13.307,7.43,352.8,9.05,8.73
"2010-05-15 03:30:00",125,13.353,8.66,342.6,12.78,8.73
"2010-05-15 04:00:00",126,13.396,6.985,354.1,8.68,8.73
"2010-05-15 04:30:00",127,13.433,7.99,21.97,9.26,8.72
"2010-05-15 05:00:00",128,13.463,7.63,32.91,9.05,8.72
"2010-05-15 05:30:00",129,13.49,7.29,36.09,8.21,8.71
"2010-05-15 06:00:00",130,13.516,6.028,33.93,7.94,8.71
"2010-05-15 06:30:00",131,13.538,5.505,34.96,6.628,8.71
"2010-05-15 07:00:00",132,13.556,4.662,23.92,5.839,8.7
"2010-05-15 07:30:00",133,13.569,3.87,22.43,5.839,8.7
"2010-05-15 08:00:00",134,13.578,3.87,35.95,5.786,8.69
"2010-05-15 08:30:00",135,13.579,4.085,39.69,5.207,8.69
"2010-05-15 09:00:00",136,13.572,3.833,32.13,4.839,8.68
"2010-05-15 09:30:00",137,13.56,2.827,11.07,3.577,8.68
"2010-05-15 10:00:00",138,13.544,2.509,36.61,3.524,8.67
"2010-05-15 10:30:00",139,13.525,2.661,41.28,3.735,8.66
"2010-05-15 11:00:00",140,13.502,2.198,27.5,3.314,8.65
"2010-05-15 11:30:00",141,13.477,2.512,35.64,3.629,8.64
"2010-05-15 12:00:00",142,13.451,2.489,55.09,3.419,8.63
"2010-05-15 12:30:00",143,13.422,2.325,51.66,3.472,8.62
"2010-05-15 13:00:00",144,13.39,3.443,62.23,4.418,8.61
"2010-05-15 13:30:00",145,13.357,3.22,67.64,3.735,8.61
"2010-05-15 14:00:00",146,13.321,2.705,66.97,3.787,8.6
"2010-05-15 14:30:00",147,13.289,1.873,56.59,2.42,8.59
"2010-05-15 15:00:00",148,13.262,1.567,39.72,2.314,8.58
"2010-05-15 15:30:00",149,13.235,2.282,25.31,3.419,8.56
"2010-05-15 16:00:00",150,13.207,3.684,40.79,4.681,8.55
"2010-05-15 16:30:00",151,13.176,4.003,43.16,5.26,8.54
"2010-05-15 17:00:00",152,13.142,3.462,40.67,4.997,8.53
"2010-05-15 17:30:00",153,13.116,3.571,60.31,5.155,8.52
"2010-05-15 18:00:00",154,13.102,3.926,56.51,4.944,8.52
"2010-05-15 18:30:00",155,13.096,3.238,60.55,4.366,8.51
"2010-05-15 19:00:00",156,13.087,2.882,51.57,4.734,8.51
"2010-05-15 19:30:00",157,13.079,4.614,72.5,5.839,8.52
"2010-05-15 20:00:00",158,13.085,4.087,45.97,5.628,8.52
"2010-05-15 20:30:00",159,13.098,3.812,65.56,5.207,8.52
"2010-05-15 21:00:00",160,13.112,4.709,69.07,5.944,8.53
"2010-05-15 21:30:00",161,13.137,4.493,72.1,5.786,8.51
"2010-05-15 22:00:00",162,13.172,3.316,51.74,4.313,8.48
"2010-05-15 22:30:00",163,13.201,3.543,47.54,4.734,8.46
"2010-05-15 23:00:00",164,13.223,3.665,47.44,4.366,8.46
"2010-05-15 23:30:00",165,13.243,3.417,42.73,4.629,8.46
"2010-05-16 00:00:00",166,13.26,5.358,35.76,6.417,8.47
"2010-05-16 00:30:00",167,13.274,6.317,44.24,8.05,8.47
"2010-05-16 01:00:00",168,13.291,7.39,42.22,9.15,8.47
